:START_ID,:END_ID,:TYPE
KW-0376,GO:0042744,map_to
KW-0376,KW-0575,hi
KW-0377,GO:0042566,map_to
KW-0378,GO:0016787,map_to
KW-0381,GO:0009626,map_to
KW-0381,KW-0611,hi
KW-0928,GO:0034053,map_to
KW-0382,GO:0008217,map_to
KW-0386,GO:0008612,map_to
KW-0387,GO:0050825,map_to
KW-1196,GO:0039699,map_to
KW-1196,KW-1195,hi
KW-0388,GO:0019862,map_to
KW-0389,GO:0019863,map_to
KW-0390,GO:0019864,map_to
KW-0391,GO:0002376,map_to
KW-0392,GO:0003823,map_to
KW-0392,KW-0393,hi
KW-0394,GO:0003823,map_to
KW-0394,KW-0393,hi
KW-1271,GO:0061702,map_to
KW-1271,KW-0963,hi
KW-0395,GO:0006954,map_to
KW-1111,GO:0039602,map_to
KW-1111,KW-1191,hi
KW-1075,GO:0039611,map_to
KW-1075,KW-1193,hi
KW-1080,GO:0039504,map_to
KW-1080,KW-0899,hi
KW-1081,GO:0019050,map_to
KW-1081,KW-1119,hi
KW-1082,GO:0019050,map_to
KW-1082,KW-1119,hi
KW-1083,GO:0039521,map_to
KW-1083,KW-0945,hi
KW-1085,GO:0039650,map_to
KW-1085,KW-1119,hi
KW-1086,GO:0039553,map_to
KW-1086,KW-0899,hi
KW-1087,GO:0039573,map_to
KW-1087,KW-0899,hi
KW-1248,GO:0098673,map_to
KW-1248,KW-1121,hi
KW-1224,GO:0039724,map_to
KW-1224,KW-1113,hi
KW-1090,GO:0039503,map_to
KW-1090,KW-0899,hi
KW-1091,GO:0039511,map_to
KW-1091,KW-1114,hi
KW-1114,GO:0039502,map_to
KW-1114,KW-1090,hi
KW-1092,GO:0039548,map_to
KW-1092,KW-1113,hi
KW-1093,GO:0039557,map_to
KW-1093,KW-1113,hi
KW-1094,GO:0039560,map_to
KW-1094,KW-1114,hi
KW-1095,GO:0039579,map_to
KW-1095,KW-1114,hi
KW-1096,GO:0039576,map_to
KW-1096,KW-1114,hi
KW-1097,GO:0039545,map_to
KW-1097,KW-1113,hi
KW-1089,GO:0039554,map_to
KW-1089,KW-1113,hi
KW-1115,GO:0046776,map_to
KW-1115,KW-1080,hi
KW-1116,GO:0039505,map_to
KW-1116,KW-1080,hi
KW-1098,GO:0039593,map_to
KW-1098,KW-1121,hi
KW-1099,GO:0039522,map_to
KW-1099,KW-1192,hi
KW-1100,GO:0039644,map_to
KW-1100,KW-0945,hi
KW-1102,GO:0039580,map_to
KW-1102,KW-1114,hi
KW-1101,GO:0039647,map_to
KW-1101,KW-1193,hi
KW-1103,GO:0039524,map_to
KW-1103,KW-1192,hi
KW-1117,GO:0039588,map_to
KW-1117,KW-1080,hi
KW-1088,GO:0039540,map_to
KW-1088,KW-1113,hi
KW-1113,GO:0039532,map_to
KW-1113,KW-1090,hi
KW-1104,GO:0039523,map_to
KW-1104,KW-1191,hi
KW-1105,GO:0039563,map_to
KW-1105,KW-1114,hi
KW-1106,GO:0039564,map_to
KW-1106,KW-1114,hi
KW-1107,GO:0039589,map_to
KW-1107,KW-1080,hi
KW-1108,GO:0039591,map_to
KW-1108,KW-1080,hi
KW-1223,GO:0039723,map_to
KW-1223,KW-1225,hi
KW-1084,GO:0039587,map_to
KW-1084,KW-1114,hi
KW-1225,GO:0039722,map_to
KW-1225,KW-1090,hi
KW-1110,GO:0039547,map_to
KW-1110,KW-1113,hi
KW-1112,GO:0039574,map_to
KW-1112,KW-1114,hi
KW-0396,GO:0003743,map_to
KW-0396,GO:0006413,map_to
KW-0396,KW-0648,hi
KW-0399,GO:0045087,map_to
KW-0399,KW-0391,hi
KW-1153,GO:0039625,map_to
KW-1153,KW-0167,hi
KW-0398,GO:0006021,map_to
KW-0401,GO:0007229,map_to
KW-0922,GO:0030683,map_to
KW-1154,GO:0039626,map_to
KW-1154,KW-0167,hi
KW-0403,GO:0005882,map_to
KW-0404,GO:0006314,map_to
KW-0404,KW-0255,hi
KW-0407,GO:0005216,map_to
KW-0407,KW-0406,hi
KW-0872,GO:0008200,map_to
KW-0872,KW-0800,hi
KW-0406,GO:0006811,map_to
KW-0406,KW-0813,hi
KW-1028,KW-0629,hi
KW-1028,KW-0872,hi
KW-0409,GO:0006879,map_to
KW-0409,KW-0408,hi
KW-0410,GO:0055072,map_to
KW-0410,KW-0406,hi
KW-0410,KW-0408,hi
KW-0411,GO:0051536,map_to
KW-0411,KW-0408,hi
KW-0411,KW-0479,hi
KW-0412,GO:0009097,map_to
KW-0412,KW-0100,hi
KW-0413,GO:0016853,map_to
KW-0414,GO:0008299,map_to
KW-0979,KW-1186,hi
KW-1012,KW-0990,hi
KW-0415,GO:0000741,map_to
KW-0416,GO:0005882,map_to
KW-0417,GO:0031424,map_to
KW-0418,GO:0016301,map_to
KW-0418,GO:0016310,map_to
KW-0418,KW-0808,hi
KW-0995,GO:0000776,map_to
KW-0419,GO:0020023,map_to
KW-0419,KW-0496,hi
KW-0953,KW-0038,hi
KW-0421,GO:0007595,map_to
KW-0422,GO:0005989,map_to
KW-0423,GO:0005988,map_to
KW-0425,GO:0005102,map_to
KW-0425,GO:0019835,map_to
KW-0425,KW-0078,hi
KW-1252,GO:0098689,map_to
KW-0427,GO:0034362,map_to
KW-0429,KW-1274,hi
KW-0430,GO:0030246,map_to
KW-0431,KW-1274,hi
KW-0432,GO:0009098,map_to
KW-0432,KW-0100,hi
KW-0434,GO:0019370,map_to
KW-1071,KW-0406,hi
KW-1071,KW-0407,hi
KW-0436,GO:0016874,map_to
KW-0437,GO:0030076,map_to
KW-0438,GO:0009809,map_to
KW-0439,GO:0046274,map_to
KW-0440,KW-0479,hi
KW-0440,KW-0862,hi
KW-0441,GO:0009245,map_to
KW-0441,KW-0444,hi
KW-0444,GO:0008610,map_to
KW-0444,KW-0443,hi
KW-0442,GO:0016042,map_to
KW-0442,KW-0443,hi
KW-0551,GO:0005811,map_to
KW-0443,GO:0006629,map_to
KW-0445,GO:0006869,map_to
KW-0445,KW-0813,hi
KW-0446,GO:0008289,map_to
KW-0448,GO:0009103,map_to
KW-0455,GO:0008218,map_to
KW-0456,GO:0016829,map_to
KW-0457,GO:0009085,map_to
KW-0457,KW-0028,hi
KW-0458,GO:0005764,map_to
KW-0462,GO:0000023,map_to
KW-0463,GO:0018924,map_to
KW-0465,GO:0005537,map_to
KW-0465,KW-0430,hi
KW-0467,GO:0043303,map_to
KW-0981,KW-1186,hi
KW-0469,GO:0051321,map_to
KW-0470,GO:0042438,map_to
KW-0867,KW-1274,hi
KW-0471,GO:0030187,map_to
KW-0472,GO:0016020,map_to
KW-0473,GO:0005579,map_to
KW-0473,KW-0180,hi
KW-0473,KW-0204,hi
KW-0474,GO:0009234,map_to
KW-0475,GO:0046689,map_to
KW-0478,KW-1026,hi
KW-0479,GO:0046872,map_to
KW-0480,GO:0046872,map_to
KW-0480,KW-0479,hi
KW-0481,GO:0004857,map_to
KW-0482,GO:0008237,map_to
KW-0482,KW-0645,hi
KW-0483,GO:0008191,map_to
KW-0483,KW-0481,hi
KW-0483,KW-0646,hi
KW-0484,GO:0015948,map_to
KW-0485,GO:0015945,map_to
KW-0486,GO:0009086,map_to
KW-0486,KW-0028,hi
KW-0487,GO:0031427,map_to
KW-0489,GO:0008168,map_to
KW-0489,GO:0032259,map_to
KW-0489,KW-0808,hi
KW-0490,GO:0002474,map_to
KW-0490,GO:0042612,map_to
KW-0490,KW-0391,hi
KW-0491,GO:0002504,map_to
KW-0491,GO:0042613,map_to
KW-0491,KW-0391,hi
KW-0492,GO:0043231,map_to
KW-0492,KW-0256,hi
KW-1177,GO:0075521,map_to
KW-1177,KW-0945,hi
KW-1177,KW-1176,hi
KW-1189,GO:0039701,map_to
KW-1189,KW-0945,hi
KW-1189,KW-1188,hi
KW-0493,GO:0005874,map_to
KW-0495,GO:0030500,map_to
KW-0496,GO:0005739,map_to
KW-0999,GO:0005743,map_to
KW-0999,KW-0472,hi
KW-0999,KW-0496,hi
KW-1135,GO:0042645,map_to
KW-1135,KW-0496,hi
KW-1000,GO:0005741,map_to
KW-1000,KW-0472,hi
KW-1000,KW-0496,hi
KW-0497,GO:0051781,map_to
KW-0498,KW-0132,hi
KW-1025,GO:0032047,map_to
KW-0499,KW-0184,hi
KW-1119,GO:0039526,map_to
KW-1119,KW-0945,hi
KW-1120,GO:0060153,map_to
KW-1120,KW-1121,hi
KW-1121,GO:0060153,map_to
KW-1121,KW-0945,hi
KW-1122,GO:0039525,map_to
KW-1122,KW-0945,hi
KW-1118,GO:0039673,map_to
KW-1118,KW-0899,hi
KW-1123,GO:0039649,map_to
KW-1123,KW-1130,hi
KW-1124,GO:0075528,map_to
KW-1124,KW-0899,hi
KW-1131,GO:0039671,map_to
KW-1131,KW-0899,hi
KW-1126,GO:0039586,map_to
KW-1126,KW-1114,hi
KW-1127,GO:0039648,map_to
KW-1127,KW-1130,hi
KW-1128,GO:0039648,map_to
KW-1128,KW-1130,hi
KW-1129,GO:0039648,map_to
